OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F827461C-7AD1-4790-8821-4799C9EE488E_1,C6CC5D7F-DE8B-E2B0-7ECA-707D082192FC,FD9023D6-2891-EDAB-8E22-6DD39A6D4371,1677173013047,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F827461C-7AD1-4790-8821-4799C9EE488E_1,C6CC5D7F-DE8B-E2B0-7ECA-707D082192FC,FD9023D6-2891-EDAB-8E22-6DD39A6D4371,1677173102121,60018,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,52C900A5-3F28-4E87-8DA3-72003753E086,A64B7F0C-0BAF-8020-E2CE-DADA6DB5097D,1677173594290,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173594487,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173596677,2077,2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173596703,2103,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173596828,2228,6
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173597708,3109,8
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173597802,3203,12
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173597760,3161,10
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173599267,4622,10
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173599362,4717,6
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173599295,4650,8
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173599420,4775,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173600332,5683,2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173600392,5743,-2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173600421,5772,-4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173600373,5724,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173600516,5852,-8
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173600453,5804,-6
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173601204,6539,-6
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173601235,6570,-4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173601295,6630,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173601265,6600,-2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173601327,6662,2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173602015,7350,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173602141,7478,8
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,F827461C-7AD1-4790-8821-4799C9EE488E_1,FB0D777A-5B23-0243-CD4A-0416124A8258,11A8B7D1-47AB-0ECF-3319-2E72AD5C0261,1677173602089,7426,6
