OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
14_hrot.mp4 - 61.2078,36931B7A-EDAE-FB69-12C2-00565DCB174C_15,5E0DD383-1C54-06C1-C8AE-F7159A54B828,CDBCC201-577A-5A23-4C4C-E2C1F897A158,1682149682147,0,0
14_hrot.mp4 - 61.2078,36931B7A-EDAE-FB69-12C2-00565DCB174C_15,5E0DD383-1C54-06C1-C8AE-F7159A54B828,CDBCC201-577A-5A23-4C4C-E2C1F897A158,1682149696785,14039,1
14_hrot.mp4 - 61.2078,36931B7A-EDAE-FB69-12C2-00565DCB174C_15,5E0DD383-1C54-06C1-C8AE-F7159A54B828,CDBCC201-577A-5A23-4C4C-E2C1F897A158,1682149710002,27231,2
14_hrot.mp4 - 61.2078,36931B7A-EDAE-FB69-12C2-00565DCB174C_15,5E0DD383-1C54-06C1-C8AE-F7159A54B828,CDBCC201-577A-5A23-4C4C-E2C1F897A158,1682149710155,27371,3
14_hrot.mp4 - 61.2078,36931B7A-EDAE-FB69-12C2-00565DCB174C_15,5E0DD383-1C54-06C1-C8AE-F7159A54B828,CDBCC201-577A-5A23-4C4C-E2C1F897A158,1682149716568,33782,4
14_hrot.mp4 - 61.2078,36931B7A-EDAE-FB69-12C2-00565DCB174C_15,5E0DD383-1C54-06C1-C8AE-F7159A54B828,CDBCC201-577A-5A23-4C4C-E2C1F897A158,1682149725218,42447,3
14_hrot.mp4 - 61.2078,36931B7A-EDAE-FB69-12C2-00565DCB174C_15,5E0DD383-1C54-06C1-C8AE-F7159A54B828,CDBCC201-577A-5A23-4C4C-E2C1F897A158,1682149730718,47967,2
14_hrot.mp4 - 61.2078,36931B7A-EDAE-FB69-12C2-00565DCB174C_15,5E0DD383-1C54-06C1-C8AE-F7159A54B828,CDBCC201-577A-5A23-4C4C-E2C1F897A158,1682149739669,56893,3
14_hrot.mp4 - 61.2078,36931B7A-EDAE-FB69-12C2-00565DCB174C_15,5E0DD383-1C54-06C1-C8AE-F7159A54B828,CDBCC201-577A-5A23-4C4C-E2C1F897A158,1682149742419,59659,4
14_insurgency.mp4 - 63.529795,36931B7A-EDAE-FB69-12C2-00565DCB174C_16,5E0DD383-1C54-06C1-C8AE-F7159A54B828,0706E6AA-CB96-E178-280B-0D9F1A0DD178,1682149752462,0,0
