OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078034791,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078037077,2340,1
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078037210,2473,2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078037359,2623,3
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078037926,3190,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078038226,3490,5
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078038610,3874,6
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078040760,6024,5
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078040843,6107,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,CD2FAD03-BBBA-F0B2-65C6-03530F3848D5_1,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E,4D43D113-070B-4E88-2C2D-CDAF51C69204,1682078041009,6273,3
