OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092142967,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092144667,1565,1
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092144766,1664,2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092144816,1714,3
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092144915,1813,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092145015,1913,5
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092145383,2281,6
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092145884,2784,7
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092146017,2917,8
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092146232,3131,9
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092146332,3231,10
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092146548,3448,11
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092147049,3948,12
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092147567,4466,13
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092148667,5565,12
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092148967,5865,11
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092149183,6083,10
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092149600,6500,9
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092149682,6582,8
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092149815,6715,7
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092149982,6881,6
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092150232,7131,5
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092150416,7316,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092151049,7949,3
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092151132,8032,2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092151382,8281,1
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092151849,8748,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092151914,8813,-1
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092152099,8998,-2
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092152282,9181,-3
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092152866,9765,-4
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092153083,9982,-5
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092153367,10266,-6
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092153666,10566,-7
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092153883,10783,-8
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092154515,11415,-9
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092154767,11667,-10
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092156149,13049,-9
Green video (pNRpAtLg40s&amp;ab_channel) - 60.021,1D443350-0B57-5995-2B6C-CAA1B3BBEFCF_1,61389FC0-7E01-FBBF-4203-772607DE6418,D2EEB1F2-665B-39D6-1123-888ED45C40F4,1682092159167,16067,-8
